title,image,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Umineko no Naku Koro ni,https://cdn.myanimelist.net/images/anime/10/17709.jpg,TV,26,Finished Airing,Summer 2009,Summer,2009.0,"Horror, Mystery, Supernatural, Suspense","Gore, Psychological",Studio Deen,"Geneon Universal Entertainment, Frontier Works, Sotsu, Movic",,R - 17+ (violence & profanity),7.02,4471.0,1179.0,231647.0,1993.0
Koukaku no Regios,https://cdn.myanimelist.net/images/anime/9/12238.jpg,TV,24,Finished Airing,Winter 2009,Winter,2009.0,"Action, Adventure, Fantasy, Sci-Fi","Military, School, Super Power",Zexcs,"Kadokawa Shoten, AMG MUSIC",,R - 17+ (violence & profanity),7.26,3154.0,1225.0,221372.0,1060.0
Fuyu no Sonata,https://cdn.myanimelist.net/images/anime/12/26302.jpg,TV,26,Finished Airing,Fall 2009,Fall,2009.0,"Drama, Romance",,"Studio Comet, KeyEast, REALTHING",Yoon's Color,,PG-13 - Teens 13 or older,7.3,2950.0,4871.0,25209.0,71.0
Hayate no Gotoku!!,https://cdn.myanimelist.net/images/anime/1015/142749.jpg,TV,25,Finished Airing,Spring 2009,Spring,2009.0,"Action, Comedy, Romance","Harem, Parody",J.C.Staff,"TV Tokyo, Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment",Shounen,PG-13 - Teens 13 or older,7.65,1492.0,2064.0,119101.0,469.0
Asu no Yoichi!,https://cdn.myanimelist.net/images/anime/6/20621.jpg,TV,12,Finished Airing,Winter 2009,Winter,2009.0,"Action, Comedy, Romance, Ecchi","Harem, Martial Arts",AIC,"Lantis, TBS, Movic",Shounen,PG-13 - Teens 13 or older,6.67,6298.0,1266.0,214613.0,370.0
Sora no Otoshimono,https://cdn.myanimelist.net/images/anime/1623/151209.jpg,TV,13,Finished Airing,Fall 2009,Fall,2009.0,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Harem,AIC ASTA,"Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo",Shounen,PG-13 - Teens 13 or older,7.22,3350.0,500.0,500515.0,3959.0
Xiangpi Ni Xiao Zhen,https://cdn.myanimelist.net/images/anime/1969/115451.jpg,TV,365,Finished Airing,Fall 2009,Fall,2009.0,,,add some,add some,Kids,PG - Children,,16284.0,22874.0,188.0,0.0
Tegamibachi,https://cdn.myanimelist.net/images/anime/9/71808.jpg,TV,25,Finished Airing,Fall 2009,Fall,2009.0,"Adventure, Fantasy",,Pierrot Plus,"Studio Pierrot, TV Tokyo",Shounen,PG-13 - Teens 13 or older,7.59,1702.0,1973.0,126455.0,754.0
Nyan Koi!,https://cdn.myanimelist.net/images/anime/10/18299.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Comedy, Romance, Supernatural","Harem, Pets",AIC,"Pony Canyon, TBS, Movic, Flex Comix",,PG-13 - Teens 13 or older,7.11,4015.0,979.0,276042.0,600.0
Natsu no Arashi!,https://cdn.myanimelist.net/images/anime/5/75256.jpg,TV,13,Finished Airing,Spring 2009,Spring,2009.0,"Comedy, Romance, Supernatural",Time Travel,Shaft,"Starchild Records, Rakuonsha",Shounen,PG-13 - Teens 13 or older,7.22,3401.0,3210.0,57358.0,88.0
Higashi no Eden,https://cdn.myanimelist.net/images/anime/9/15033.jpg,TV,11,Finished Airing,Spring 2009,Spring,2009.0,"Award Winning, Mystery, Romance, Sci-Fi, Suspense","Adult Cast, Psychological",Production I.G,"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Fonishia",,R - 17+ (violence & profanity),7.73,1276.0,414.0,589065.0,4273.0
Sugar Bunnies Fleur,https://cdn.myanimelist.net/images/anime/10/46117.jpg,TV,26,Finished Airing,Spring 2009,Spring,2009.0,,,Asahi Production,Sanrio,Kids,PG - Children,6.05,9973.0,14730.0,1032.0,3.0
GA: Geijutsuka Art Design Class,https://cdn.myanimelist.net/images/anime/7/56975.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,Slice of Life,"CGDCT, School, Visual Arts",AIC PLUS+,"AIC, Houbunsha",,PG-13 - Teens 13 or older,7.13,3893.0,5142.0,22104.0,90.0
Saki,https://cdn.myanimelist.net/images/anime/12/73933.jpg,TV,25,Finished Airing,Spring 2009,Spring,2009.0,Slice of Life,"School, Strategy Game","Gonzo, Picture Magic","TV Tokyo, Square Enix, Sotsu, Lantis, Pony Canyon, KlockWorx, TV Tokyo Music, Kiyosumi High School Mahjong Club, Sotsu Music Publishing, Future Vision Music",Seinen,PG-13 - Teens 13 or older,7.45,2237.0,2348.0,98553.0,842.0
Basquash!,https://cdn.myanimelist.net/images/anime/9/13680.jpg,TV,26,Finished Airing,Spring 2009,Spring,2009.0,"Sci-Fi, Sports","Mecha, Team Sports",Satelight,Mainichi Broadcasting System,,PG-13 - Teens 13 or older,7.18,3624.0,3502.0,49297.0,186.0
Nanami-chan 6th Series,https://cdn.myanimelist.net/images/anime/1129/103066.jpg,TV,16,Finished Airing,Summer 2009,Summer,2009.0,,,"Group TAC, Robot Communications",add some,Kids,G - All Ages,,18962.0,21533.0,255.0,0.0
07-Ghost,https://cdn.myanimelist.net/images/anime/3/22605.jpg,TV,25,Finished Airing,Spring 2009,Spring,2009.0,"Action, Fantasy","Military, Mythology",Studio Deen,Ichijinsha,Josei,PG-13 - Teens 13 or older,7.18,3619.0,1238.0,219590.0,2111.0
Weiß Survive,https://cdn.myanimelist.net/images/anime/10/17261.jpg,TV,16,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Ecchi",Strategy Game,Studio Hibari,"TBS, Bushiroad",,PG-13 - Teens 13 or older,6.0,10277.0,5115.0,22368.0,7.0
Warai no Show Gakkou,https://cdn.myanimelist.net/images/anime/6/71661.jpg,TV,20,Finished Airing,Spring 2009,Spring,2009.0,Comedy,,add some,"NHK, Milky Cartoon, Opera House",Kids,PG - Children,,16040.0,20622.0,304.0,0.0
Zan Sayonara Zetsubou Sensei,https://cdn.myanimelist.net/images/anime/2/78774.jpg,TV,13,Finished Airing,Summer 2009,Summer,2009.0,Comedy,"Gag Humor, Parody, School",Shaft,Omnibus Promotion,Shounen,R - 17+ (violence & profanity),7.86,967.0,2153.0,112508.0,251.0
Kobato.,https://cdn.myanimelist.net/images/anime/8/79838.jpg,TV,24,Finished Airing,Fall 2009,Fall,2009.0,"Drama, Romance, Supernatural",,Madhouse,"NHK, Kadokawa Shoten, NHK-BS2, KlockWorx, flying DOG",,PG-13 - Teens 13 or older,7.94,795.0,1525.0,175224.0,1577.0
K-On!,https://cdn.myanimelist.net/images/anime/10/76120.jpg,TV,13,Finished Airing,Spring 2009,Spring,2009.0,Comedy,"CGDCT, Music, School",Kyoto Animation,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",,PG-13 - Teens 13 or older,7.86,952.0,153.0,1108250.0,25181.0
Phantom: Requiem for the Phantom,https://cdn.myanimelist.net/images/anime/8/22470.jpg,TV,26,Finished Airing,Spring 2009,Spring,2009.0,"Action, Drama, Suspense",Organized Crime,Bee Train,"Genco, Lantis, Media Factory, Rakuonsha",,R+ - Mild Nudity,7.92,828.0,753.0,351678.0,4575.0
Fresh Precure!,https://cdn.myanimelist.net/images/anime/9/21267.jpg,TV,50,Finished Airing,Winter 2009,Winter,2009.0,"Action, Comedy",Mahou Shoujo,Toei Animation,add some,,G - All Ages,7.39,2518.0,5453.0,19132.0,174.0
Pandora Hearts,https://cdn.myanimelist.net/images/anime/4/75535.jpg,TV,25,Finished Airing,Spring 2009,Spring,2009.0,"Adventure, Fantasy, Mystery",,Xebec,"Square Enix, TBS, flying DOG",Shounen,PG-13 - Teens 13 or older,7.64,1539.0,567.0,448162.0,5282.0
Peeping Life,https://cdn.myanimelist.net/images/anime/10/23512.jpg,TV,10,Finished Airing,Spring 2009,Spring,2009.0,"Comedy, Slice of Life",,add some,CoMix Wave Films,,G - All Ages,5.12,13570.0,10391.0,3530.0,3.0
Sengoku Basara,https://cdn.myanimelist.net/images/anime/4/21849.jpg,TV,12,Finished Airing,Spring 2009,Spring,2009.0,"Action, Fantasy","Historical, Martial Arts, Samurai",Production I.G,"Dentsu, Shochiku, Mainichi Broadcasting System, Movic, flying DOG",,PG-13 - Teens 13 or older,7.31,2861.0,1581.0,168353.0,959.0
Queen's Blade: Gyokuza wo Tsugu Mono,https://cdn.myanimelist.net/images/anime/11/75171.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Action, Adventure, Fantasy, Ecchi",,Arms,"Genco, Media Factory, AT-X, Magic Capsule, Hobby Japan, Toranoana",,R+ - Mild Nudity,6.52,7176.0,3183.0,58310.0,93.0
Fairy Tail,https://cdn.myanimelist.net/images/anime/5/18179.jpg,TV,175,Finished Airing,Fall 2009,Fall,2009.0,"Action, Adventure, Fantasy",,"Satelight, A-1 Pictures","TV Tokyo, Dentsu, Pony Canyon, Kodansha, DAX Production",Shounen,PG-13 - Teens 13 or older,7.57,1775.0,57.0,1820819.0,47578.0
Canaan,https://cdn.myanimelist.net/images/anime/4/75789.jpg,TV,13,Finished Airing,Summer 2009,Summer,2009.0,"Action, Mystery, Sci-Fi",Adult Cast,P.A. Works,"Lantis, Pony Canyon, Magic Capsule, Bushiroad, Showgate, Good Smile Company",,R - 17+ (violence & profanity),7.2,3473.0,1116.0,243684.0,970.0
11eyes,https://cdn.myanimelist.net/images/anime/6/73520.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Action, Supernatural, Ecchi","Harem, Super Power",Doga Kobo,"Marvelous Entertainment, Pony Canyon, feng",,R - 17+ (violence & profanity),6.03,10081.0,1105.0,244897.0,452.0
Asura Cryin' 2,https://cdn.myanimelist.net/images/anime/9/50897.jpg,TV,13,Finished Airing,Fall 2009,Fall,2009.0,"Fantasy, Sci-Fi","Harem, Mecha, School",Seven Arcs,"TV Tokyo, Starchild Records, Raku High Student Council",,PG-13 - Teens 13 or older,7.23,3300.0,3040.0,63879.0,96.0
Kemono no Souja Erin,https://cdn.myanimelist.net/images/anime/1929/121700.jpg,TV,50,Finished Airing,Winter 2009,Winter,2009.0,"Drama, Fantasy",,"Production I.G, Trans Arts",NHK,,PG-13 - Teens 13 or older,8.29,309.0,2427.0,92834.0,1520.0
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,https://cdn.myanimelist.net/images/anime/5/79398.jpg,TV,13,Finished Airing,Spring 2009,Spring,2009.0,Comedy,,Kachidoki Studio,add some,,PG - Children,4.77,13993.0,15160.0,919.0,2.0
Yuhuwa Chingudeul,https://cdn.myanimelist.net/images/anime/1409/134875.jpg,TV,26,Finished Airing,Summer 2009,Summer,2009.0,,,add some,add some,Kids,PG - Children,,16968.0,19609.0,367.0,2.0
Shin Mazinger Shougeki! Z-hen,https://cdn.myanimelist.net/images/anime/1022/92865.jpg,TV,26,Finished Airing,Spring 2009,Spring,2009.0,Drama,"Mecha, Super Power","Bee Media, Code","Bandai Visual, Lantis, Dynamic Planning",Shounen,R - 17+ (violence & profanity),7.64,1514.0,5662.0,17307.0,165.0
Senjou no Valkyria,https://cdn.myanimelist.net/images/anime/6/53901.jpg,TV,26,Finished Airing,Spring 2009,Spring,2009.0,"Action, Romance",Military,A-1 Pictures,"Aniplex, Sega, Sakura Create",,PG-13 - Teens 13 or older,7.56,1805.0,1866.0,136254.0,617.0
Konnichiwa Anne: Before Green Gables,https://cdn.myanimelist.net/images/anime/13/54069.jpg,TV,39,Finished Airing,Spring 2009,Spring,2009.0,Drama,Historical,Nippon Animation,add some,,G - All Ages,7.65,1497.0,7300.0,9173.0,53.0
Kuruneko,https://cdn.myanimelist.net/images/anime/6/20591.jpg,TV,50,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Slice of Life",Pets,DAX Production,"Kadokawa Pictures Japan, Kansai TV, Tokai Television",,G - All Ages,7.17,3658.0,8987.0,5461.0,11.0
Yume-iro Pâtissière,https://cdn.myanimelist.net/images/anime/1076/134431.jpg,TV,50,Finished Airing,Fall 2009,Fall,2009.0,Gourmet,School,Studio Hibari,"Studio Pierrot, Yomiuri Telecasting, DAX Production, Shueisha",Shoujo,G - All Ages,7.85,977.0,2484.0,89803.0,1247.0
Shinkyoku Soukai Polyphonica Crimson S,https://cdn.myanimelist.net/images/anime/1550/95575.jpg,TV,12,Finished Airing,Spring 2009,Spring,2009.0,"Drama, Fantasy, Romance","Music, School",Diomedéa,"Lantis, Yomiko Advertising, Pony Canyon, Magic Capsule, SoftBank Creative, T.O Entertainment",,PG-13 - Teens 13 or older,7.11,4030.0,4852.0,25457.0,41.0
Viper's Creed,https://cdn.myanimelist.net/images/anime/10/56471.jpg,TV,12,Finished Airing,Winter 2009,Winter,2009.0,"Action, Sci-Fi",Military,"AIC Spirits, Digital Frontier","Sony Pictures Entertainment, Mill Creek Entertainment",,PG-13 - Teens 13 or older,6.68,6204.0,6689.0,11353.0,17.0
Tentai Senshi Sunred 2nd Season,https://cdn.myanimelist.net/images/anime/7/15051.jpg,TV,26,Finished Airing,Fall 2009,Fall,2009.0,Comedy,"Gag Humor, Parody, Super Power",AIC ASTA,flying DOG,Seinen,PG-13 - Teens 13 or older,7.82,1038.0,7454.0,8731.0,30.0
Darker than Black: Ryuusei no Gemini,https://cdn.myanimelist.net/images/anime/1189/134110.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Action, Mystery",Super Power,Bones,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Sakura Create",,R - 17+ (violence & profanity),7.42,2379.0,606.0,425502.0,1520.0
Lena Lena,https://cdn.myanimelist.net/images/anime/12/69871.jpg,TV,13,Finished Airing,Summer 2009,Summer,2009.0,Slice of Life,,add some,Sony Music Entertainment,,G - All Ages,,18186.0,18364.0,460.0,0.0
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,https://cdn.myanimelist.net/images/anime/1221/118907.jpg,TV,9,Finished Airing,Winter 2009,Winter,2009.0,"Action, Fantasy, Romance",Super Power,Kyoto Animation,add some,,PG-13 - Teens 13 or older,7.06,4245.0,3786.0,43233.0,142.0
Toaru Kagaku no Railgun,https://cdn.myanimelist.net/images/anime/8/53581.jpg,TV,24,Finished Airing,Fall 2009,Fall,2009.0,"Action, Fantasy, Sci-Fi","Super Power, Urban Fantasy",J.C.Staff,"Geneon Universal Entertainment, Movic, AT-X, ASCII Media Works",,PG-13 - Teens 13 or older,7.65,1510.0,375.0,639417.0,6098.0
Jewelpet,https://cdn.myanimelist.net/images/anime/9/20954.jpg,TV,52,Finished Airing,Spring 2009,Spring,2009.0,,"Anthropomorphic, Mahou Shoujo",Studio Comet,"TV Osaka, Sanrio, Imagine",,PG - Children,6.82,5402.0,6026.0,14569.0,46.0
Examurai Sengoku,https://cdn.myanimelist.net/images/anime/13/33643.jpg,TV,24,Finished Airing,Winter 2009,Winter,2009.0,"Action, Sci-Fi","Martial Arts, Samurai",TMS Entertainment,Omnibus Promotion,,PG-13 - Teens 13 or older,6.21,9036.0,9373.0,4852.0,7.0
Seitokai no Ichizon,https://cdn.myanimelist.net/images/anime/7/19646.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,Comedy,"Harem, Parody, School",Studio Deen,"Kadokawa Shoten, AMG MUSIC",,PG-13 - Teens 13 or older,7.3,2931.0,1319.0,204647.0,729.0
Kanamemo,https://cdn.myanimelist.net/images/anime/6/52677.jpg,TV,13,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Girls Love, Ecchi",CGDCT,feel.,"Starchild Records, TV Tokyo Music, Houbunsha",,PG-13 - Teens 13 or older,6.82,5406.0,3848.0,42045.0,77.0
Kimi ni Todoke,https://cdn.myanimelist.net/images/anime/1502/124384.jpg,TV,25,Finished Airing,Fall 2009,Fall,2009.0,"Drama, Romance",School,Production I.G,"VAP, Nippon Television Network, Shueisha",Shoujo,PG-13 - Teens 13 or older,8.01,685.0,171.0,1044332.0,15277.0
Dragon Ball Kai,https://cdn.myanimelist.net/images/anime/1102/133990.jpg,TV,97,Finished Airing,Spring 2009,Spring,2009.0,"Action, Adventure, Comedy, Fantasy",Martial Arts,Toei Animation,Fuji TV,Shounen,PG-13 - Teens 13 or older,7.77,1154.0,610.0,423304.0,3887.0
Needless,https://cdn.myanimelist.net/images/anime/2/23457.jpg,TV,24,Finished Airing,Summer 2009,Summer,2009.0,"Action, Comedy, Sci-Fi, Ecchi",Super Power,Madhouse,"Avex Entertainment, Lantis",Seinen,R - 17+ (violence & profanity),7.2,3499.0,1747.0,147356.0,539.0
Chi's Sweet Home: Atarashii Ouchi,https://cdn.myanimelist.net/images/anime/9/14095.jpg,TV,104,Finished Airing,Spring 2009,Spring,2009.0,Slice of Life,Pets,Madhouse,add some,Seinen,G - All Ages,7.71,1312.0,4373.0,32037.0,114.0
Seiken no Blacksmith,https://cdn.myanimelist.net/images/anime/1352/150802.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Action, Adventure, Fantasy",,Manglobe,"Media Factory, AT-X, Earth Star Entertainment",,R+ - Mild Nudity,6.63,6548.0,1379.0,195270.0,238.0
Tokyo Magnitude 8.0,https://cdn.myanimelist.net/images/anime/10/13776.jpg,TV,11,Finished Airing,Summer 2009,Summer,2009.0,"Award Winning, Drama",,"Bones, Kinema Citrus","Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Sakura Create, Aquatone, Sony Music Publishing",,PG-13 - Teens 13 or older,8.0,700.0,878.0,310761.0,1800.0
Kkoma Bus Tayo Pilot,https://cdn.myanimelist.net/images/anime/1813/127934.jpg,TV,5,Finished Airing,Winter 2009,Winter,2009.0,,Racing,add some,add some,Kids,G - All Ages,,17868.0,22219.0,218.0,0.0
Barnacle Lou,https://cdn.myanimelist.net/images/anime/5/63887.jpg,TV,52,Finished Airing,Summer 2009,Summer,2009.0,,,add some,Olive Studio,Kids,PG - Children,,20199.0,19448.0,376.0,0.0
Cross Game,https://cdn.myanimelist.net/images/anime/6/22103.jpg,TV,50,Finished Airing,Spring 2009,Spring,2009.0,"Drama, Romance, Sports","School, Team Sports",SynergySP,"TV Tokyo, Shogakukan-Shueisha Productions, Half H.P Studio",Shounen,PG-13 - Teens 13 or older,8.37,236.0,1921.0,131240.0,3071.0
Ristorante Paradiso,https://cdn.myanimelist.net/images/anime/13/17488.jpg,TV,11,Finished Airing,Spring 2009,Spring,2009.0,"Drama, Gourmet, Romance",Workplace,David Production,"Fuji TV, Fujipacific Music, Sony PCL, Omnibus Promotion",,PG-13 - Teens 13 or older,7.29,2985.0,3475.0,50014.0,184.0
Higepiyo,https://cdn.myanimelist.net/images/anime/5/23125.jpg,TV,39,Finished Airing,Spring 2009,Spring,2009.0,Comedy,,Kinema Citrus,Aniplex,,PG - Children,7.06,4267.0,8447.0,6381.0,16.0
Fight Ippatsu! Juuden-chan!!,https://cdn.myanimelist.net/images/anime/2/12946.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Sci-Fi, Ecchi",,Studio Hibari,"Avex Entertainment, Genco, Mobcast",Seinen,R+ - Mild Nudity,6.59,6765.0,4024.0,38300.0,69.0
Metal Fight Beyblade,https://cdn.myanimelist.net/images/anime/13/21387.jpg,TV,51,Finished Airing,Spring 2009,Spring,2009.0,"Adventure, Comedy, Sports",,Tatsunoko Production,"TV Tokyo, d-rights",Kids,PG - Children,6.94,4786.0,2281.0,102392.0,501.0
Yume wo Kanaeru Zou,https://cdn.myanimelist.net/images/anime/10/12867.jpg,TV,12,Finished Airing,Winter 2009,Winter,2009.0,Comedy,,Studio Deen,add some,,G - All Ages,,16982.0,16238.0,695.0,0.0
Hanasakeru Seishounen,https://cdn.myanimelist.net/images/anime/1094/116584.jpg,TV,39,Finished Airing,Spring 2009,Spring,2009.0,"Drama, Romance",Reverse Harem,Studio Pierrot,"NHK, Sogo Vision",Shoujo,PG-13 - Teens 13 or older,7.68,1407.0,2830.0,72546.0,614.0
Sakuran Boy DT,https://cdn.myanimelist.net/images/anime/4/12176.jpg,TV,11,Finished Airing,Winter 2009,Winter,2009.0,Comedy,Super Power,add some,add some,,PG-13 - Teens 13 or older,,14614.0,15538.0,828.0,2.0
Kupu~!! Mamegoma!,https://cdn.myanimelist.net/images/anime/12/19916.jpg,TV,51,Finished Airing,Winter 2009,Winter,2009.0,,,TMS Entertainment,"Sotsu, San-X, Shufu to Seikatsusha",Kids,PG - Children,,18084.0,14219.0,1173.0,4.0
Kämpfer,https://cdn.myanimelist.net/images/anime/5/35423.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Action, Comedy, Romance, Ecchi","Harem, Magical Sex Shift, School",Nomad,"TBS, RAY",,PG-13 - Teens 13 or older,6.35,8224.0,906.0,301050.0,823.0
Sasameki Koto,https://cdn.myanimelist.net/images/anime/9/75225.jpg,TV,13,Finished Airing,Fall 2009,Fall,2009.0,"Comedy, Girls Love",School,AIC,"Half H.P Studio, flying DOG",Seinen,PG-13 - Teens 13 or older,7.05,4301.0,2689.0,78934.0,315.0
Princess Lover!,https://cdn.myanimelist.net/images/anime/7/75519.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Romance, Ecchi","Harem, School",GoHands,Dream Force,,R+ - Mild Nudity,6.67,6275.0,1140.0,240360.0,398.0
White Album 2nd Season,https://cdn.myanimelist.net/images/anime/1528/152025.jpg,TV,13,Finished Airing,Fall 2009,Fall,2009.0,"Drama, Romance","Harem, Idols (Female), Music",Seven Arcs,add some,,PG-13 - Teens 13 or older,6.74,5828.0,3301.0,54674.0,78.0
Aoi Hana,https://cdn.myanimelist.net/images/anime/3/80255.jpg,TV,11,Finished Airing,Summer 2009,Summer,2009.0,"Drama, Girls Love",School,J.C.Staff,"Fuji TV, Fujipacific Music",,PG-13 - Teens 13 or older,7.08,4141.0,2232.0,105586.0,417.0
Tayutama: Kiss on My Deity,https://cdn.myanimelist.net/images/anime/2/11972.jpg,TV,12,Finished Airing,Spring 2009,Spring,2009.0,"Romance, Supernatural",Harem,SILVER LINK.,"Media Factory, Delfi Sound",,PG-13 - Teens 13 or older,6.7,6095.0,2817.0,73218.0,127.0
Charady no Joke na Mainichi,https://cdn.myanimelist.net/images/anime/2/13420.jpg,TV,365,Finished Airing,Spring 2009,Spring,2009.0,Comedy,,add some,add some,,PG-13 - Teens 13 or older,5.13,13537.0,11186.0,2811.0,3.0
Marie & Gali,https://cdn.myanimelist.net/images/anime/11/22111.jpg,TV,40,Finished Airing,Spring 2009,Spring,2009.0,Comedy,Educational,Toei Animation,NHK,,PG-13 - Teens 13 or older,6.37,8093.0,8686.0,5964.0,10.0
Umi Monogatari: Anata ga Ite Kureta Koto,https://cdn.myanimelist.net/images/anime/7/15586.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,"Drama, Fantasy, Romance",,Zexcs,add some,,PG-13 - Teens 13 or older,6.6,6728.0,4454.0,30778.0,33.0
Cookin' Idol Ai! Mai! Main!,https://cdn.myanimelist.net/images/anime/13/73550.jpg,TV,305,Finished Airing,Spring 2009,Spring,2009.0,"Comedy, Gourmet",,Studio Deen,"NHK, Nihon Ad Systems, Verygoo",Kids,PG - Children,6.27,8711.0,10871.0,3079.0,9.0
Gokujou!! Mecha Mote Iinchou,https://cdn.myanimelist.net/images/anime/1306/133581.jpg,TV,51,Finished Airing,Spring 2009,Spring,2009.0,"Comedy, Romance",School,Shogakukan Music & Digital Entertainment,"TV Tokyo, Shogakukan-Shueisha Productions, Ryukyu Asahi Broadcasting",Shoujo,PG - Children,6.35,8218.0,7279.0,9224.0,20.0
Mainichi Kaasan,https://cdn.myanimelist.net/images/anime/4/70931.jpg,TV,142,Finished Airing,Spring 2009,Spring,2009.0,"Comedy, Slice of Life",Childcare,"Gallop, TYO Animations, Dongwoo A&E",Nihon Ad Systems,,PG - Children,7.2,3496.0,10393.0,3528.0,24.0
Shin Koihime†Musou,https://cdn.myanimelist.net/images/anime/11/74035.jpg,TV,12,Finished Airing,Fall 2009,Fall,2009.0,"Action, Adventure, Comedy, Ecchi","Historical, Martial Arts",Doga Kobo,Marvelous Entertainment,,R+ - Mild Nudity,6.77,5661.0,4274.0,33884.0,39.0
Sora no Manimani,https://cdn.myanimelist.net/images/anime/6/75491.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Romance",School,Studio Comet,"Sony Pictures Entertainment, Marvelous Entertainment, Lantis, Pony Canyon, AT-X, Delfi Sound",Seinen,PG-13 - Teens 13 or older,7.05,4307.0,3526.0,48529.0,69.0
Porong Porong Pororo 3,https://cdn.myanimelist.net/images/anime/8/66621.jpg,TV,52,Finished Airing,Spring 2009,Spring,2009.0,Sci-Fi,,add some,add some,Kids,G - All Ages,5.73,11666.0,16695.0,630.0,0.0
Natsu no Arashi! Akinaichuu,https://cdn.myanimelist.net/images/anime/3/16864.jpg,TV,13,Finished Airing,Fall 2009,Fall,2009.0,"Comedy, Romance, Supernatural",Time Travel,Shaft,"Starchild Records, Rakuonsha",Shounen,PG-13 - Teens 13 or older,7.25,3234.0,5108.0,22442.0,15.0
Yoku Wakaru Gendai Mahou,https://cdn.myanimelist.net/images/anime/5/88619.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,Comedy,Mahou Shoujo,Nomad,Shueisha,,PG-13 - Teens 13 or older,6.42,7851.0,4665.0,27914.0,31.0
Asura Cryin',https://cdn.myanimelist.net/images/anime/7/17071.jpg,TV,13,Finished Airing,Spring 2009,Spring,2009.0,"Fantasy, Sci-Fi","Harem, Mecha, School",Seven Arcs,"TV Tokyo, Starchild Records, Raku High Student Council",,PG-13 - Teens 13 or older,6.88,5115.0,2251.0,104832.0,177.0
Fullmetal Alchemist: Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,TV,64,Finished Airing,Spring 2009,Spring,2009.0,"Action, Adventure, Drama, Fantasy",Military,Bones,"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound",Shounen,R - 17+ (violence & profanity),9.1,3.0,3.0,3590985.0,237631.0
Taishou Yakyuu Musume.,https://cdn.myanimelist.net/images/anime/6/22583.jpg,TV,12,Finished Airing,Summer 2009,Summer,2009.0,"Comedy, Sports","Historical, School, Team Sports",J.C.Staff,"Lantis, TBS, Movic",,PG-13 - Teens 13 or older,7.34,2717.0,5077.0,22712.0,45.0
Hatsukoi Limited.,https://cdn.myanimelist.net/images/anime/1643/115475.jpg,TV,12,Finished Airing,Spring 2009,Spring,2009.0,"Comedy, Romance",School,J.C.Staff,"Geneon Universal Entertainment, Lantis, Magic Capsule, KlockWorx, Shueisha",Shounen,PG-13 - Teens 13 or older,7.25,3212.0,2228.0,105824.0,241.0
Agigongryong Doolie (2009),https://cdn.myanimelist.net/images/anime/10/45710.jpg,TV,26,Finished Airing,Winter 2009,Winter,2009.0,Adventure,,add some,add some,Kids,PG - Children,5.95,10534.0,16986.0,590.0,1.0
Rolling Seutajeu,https://cdn.myanimelist.net/images/anime/2/45851.jpg,TV,26,Finished Airing,Spring 2009,Spring,2009.0,Sports,Team Sports,add some,add some,Kids,PG - Children,,14495.0,19270.0,393.0,0.0
Wala! Pyeon-uijeom The Animation,https://cdn.myanimelist.net/images/anime/7/45722.jpg,TV,24,Finished Airing,Fall 2009,Fall,2009.0,Slice of Life,,add some,add some,,G - All Ages,,15995.0,17958.0,494.0,0.0
Genji Monogatari Sennenki,https://cdn.myanimelist.net/images/anime/5/26659.jpg,TV,11,Finished Airing,Winter 2009,Winter,2009.0,"Drama, Romance",Historical,"TMS Entertainment, Tezuka Productions","Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment",,PG-13 - Teens 13 or older,6.83,5384.0,5868.0,15695.0,22.0
